group,x,bin,isknot,mid,fit,cohort
ARG,4,1,0,0,25.922575454304248,Before 1950s
ARG,11.472222222222221,2,0,0,39.43935881864704,Before 1950s
ARG,18.441176470588236,3,0,0,39.67177962013215,Before 1950s
ARG,24.470588235294116,4,0,0,42.36892354257854,Before 1950s
ARG,31.02777777777778,5,0,0,43.96490762747511,Before 1950s
ARG,38,6,0,0,59.873714544305464,Before 1950s
ARG,44.515151515151516,7,0,0,64.94114749283517,Before 1950s
ARG,50.973684210526315,8,0,0,63.90322089656305,Before 1950s
ARG,57.470588235294116,9,0,0,73.17914971141344,Before 1950s
ARG,63.375,10,0,0,76.26925626007356,Before 1950s
ARG,4.488888888888889,1,0,0,31.121923117118833,1950s
ARG,12.051282051282051,2,0,0,35.68607637769361,1950s
ARG,19,3,0,0,38.91015716836449,1950s
ARG,26,4,0,0,46.491966732336785,1950s
ARG,33.5,5,0,0,46.44987293458659,1950s
ARG,41.07692307692308,6,0,0,63.18841312067391,1950s
ARG,48.02439024390244,7,0,0,60.27233770131266,1950s
ARG,54.92307692307692,8,0,0,63.12643678418446,1950s
ARG,62,9,0,0,63.95119800922765,1950s
ARG,68.77777777777777,10,0,0,82.45192245748251,1950s
ARG,5.107142857142857,1,0,0,31.60071973243611,1960s
ARG,12.978260869565217,2,0,0,35.583103569890724,1960s
ARG,20.49056603773585,3,0,0,43.03243810768175,1960s
ARG,28.333333333333332,4,0,0,52.967379459471005,1960s
ARG,35.95744680851064,5,0,0,51.93720445346518,1960s
ARG,43.44444444444444,6,0,0,52.14039332590561,1960s
ARG,51.5,7,0,0,64.69913597283339,1960s
ARG,59.450980392156865,8,0,0,61.15580376420041,1960s
ARG,66.93617021276596,9,0,0,75.14759851994724,1960s
ARG,74.20833333333333,10,0,0,80.32910485217104,1960s
ARG,4.548387096774194,1,0,0,28.642066159883527,1970s
ARG,12.444444444444445,2,0,0,39.846053347338696,1970s
ARG,20.09090909090909,3,0,0,36.9201090550388,1970s
ARG,27.475409836065573,4,0,0,46.462567039236546,1970s
ARG,35.63333333333333,5,0,0,54.72582233367223,1970s
ARG,43.03703703703704,6,0,0,59.40480744863319,1970s
ARG,50.609375,7,0,0,59.70802992788036,1970s
ARG,58.0188679245283,8,0,0,66.76424811621558,1970s
ARG,65.50769230769231,9,0,0,69.75808098622265,1970s
ARG,72.80392156862744,10,0,0,79.05428310895039,1970s
ARG,5.051282051282051,1,0,0,31.87882738677687,1980s
ARG,13,2,0,0,42.42246562266282,1980s
ARG,20.54794520547945,3,0,0,43.945971842762724,1980s
ARG,28,4,0,0,51.106079478054106,1980s
ARG,35.46478873239437,5,0,0,49.26524180545909,1980s
ARG,43.473684210526315,6,0,0,56.044391018023006,1980s
ARG,51.57333333333333,7,0,0,63.18397247534238,1980s
ARG,59.06060606060606,8,0,0,67.18714732567291,1980s
ARG,66.41333333333333,9,0,0,67.23938865804253,1980s
ARG,73.81538461538462,10,0,0,79.20519811162234,1980s
ARG,5,1,0,0,38.34854505032994,1990s
ARG,13.546875,2,0,0,40.52142352766024,1990s
ARG,21.38235294117647,3,0,0,49.92874820227962,1990s
ARG,29.59090909090909,4,0,0,50.0643931113643,1990s
ARG,37.986486486486484,5,0,0,55.41223728864717,1990s
ARG,46.470588235294116,6,0,0,59.42538796337329,1990s
ARG,54.515151515151516,7,0,0,55.666422469348454,1990s
ARG,62.5,8,0,0,67.26810563289919,1990s
ARG,70.61764705882354,9,0,0,72.09392006099868,1990s
ARG,78.01639344262296,10,0,0,72.5184641520975,1990s
BHS,3.2857142857142856,1,0,0,21.758467686570913,Before 1950s
BHS,11.357142857142858,2,0,0,26.95179894711945,Before 1950s
BHS,16.53846153846154,3,0,0,25.94237944136682,Before 1950s
BHS,21.307692307692307,4,0,0,46.28663622614559,Before 1950s
BHS,26.916666666666668,5,0,0,39.18927116892285,Before 1950s
BHS,32.857142857142854,6,0,0,45.997043781062075,Before 1950s
BHS,39,7,0,0,57.38977076210488,Before 1950s
BHS,44.07142857142857,8,0,0,66.66586391519223,Before 1950s
BHS,49.083333333333336,9,0,0,66.38777102759914,Before 1950s
BHS,53.61538461538461,10,0,0,75.67041166925439,Before 1950s
BHS,5.157894736842105,1,0,0,21.903926151351335,1950s
BHS,13.055555555555555,2,0,0,44.7332180186152,1950s
BHS,19.555555555555557,3,0,0,36.772125280725646,1950s
BHS,26.529411764705884,4,0,0,56.51707554023676,1950s
BHS,33.526315789473685,5,0,0,53.978050427257244,1950s
BHS,39.25,6,0,0,62.512112281284864,1950s
BHS,45.333333333333336,7,0,0,52.65996337446031,1950s
BHS,52.44444444444444,8,0,0,50.722074734646945,1950s
BHS,58.5,9,0,0,72.0360497779462,1950s
BHS,63.94117647058823,10,0,0,67.28601477840998,1950s
BHS,4.818181818181818,1,0,0,43.95772106940019,1960s
BHS,12.55,2,0,0,45.00488072833426,1960s
BHS,20.210526315789473,3,0,0,46.46695205852623,1960s
BHS,28.434782608695652,4,0,0,55.2854898763139,1960s
BHS,35.64102564102564,5,0,0,39.135062884876696,1960s
BHS,41.891891891891895,6,0,0,50.97522488139478,1960s
BHS,48.97727272727273,7,0,0,59.118721778771665,1960s
BHS,55.39473684210526,8,0,0,61.525476258238776,1960s
BHS,62.04545454545455,9,0,0,62.94015583793712,1960s
BHS,68.27777777777777,10,0,0,72.08451930449941,1960s
BHS,4.827586206896552,1,0,0,42.673738340153214,1970s
BHS,13.408163265306122,2,0,0,48.18437927206144,1970s
