group,x,bin,isknot,mid,fit,cohort
ARG,13.47619047619048,2,0,0,35.688825203347655,Before 1950s
ARG,13.857142857142861,2,0,0,36.000568368156955,Before 1950s
ARG,14.238095238095243,2,0,0,36.31231153296626,Before 1950s
ARG,14.619047619047624,2,0,0,36.62405469777556,Before 1950s
ARG,15.000000000000005,2,1,0,36.93579786258486,Before 1950s
ARG,15.285714285714292,3,0,0,37.16960523619184,Before 1950s
ARG,15.571428571428578,3,0,0,37.40341260979882,Before 1950s
ARG,15.857142857142865,3,0,0,37.6372199834058,Before 1950s
ARG,16.14285714285715,3,0,0,37.87102735701278,Before 1950s
ARG,16.428571428571434,3,0,0,38.10483473061975,Before 1950s
ARG,16.71428571428572,3,0,0,38.33864210422673,Before 1950s
ARG,17.000000000000004,3,0,0,38.5724494778337,Before 1950s
ARG,17.28571428571429,3,0,0,38.80625685144068,Before 1950s
ARG,17.571428571428573,3,0,0,39.04006422504766,Before 1950s
ARG,17.857142857142858,3,0,1,39.27387159865464,Before 1950s
ARG,18.142857142857142,3,0,0,39.50767897226161,Before 1950s
ARG,18.428571428571427,3,0,0,39.74148634586859,Before 1950s
ARG,18.71428571428571,3,0,0,39.97529371947556,Before 1950s
ARG,18.999999999999996,3,0,0,40.20910109308254,Before 1950s
ARG,19.28571428571428,3,0,0,40.442908466689516,Before 1950s
ARG,19.571428571428566,3,0,0,40.67671584029649,Before 1950s
ARG,19.85714285714285,3,0,0,40.91052321390347,Before 1950s
ARG,20.142857142857135,3,0,0,41.14433058751044,Before 1950s
ARG,20.42857142857142,3,0,0,41.37813796111742,Before 1950s
ARG,20.714285714285705,3,0,0,41.611945334724396,Before 1950s
ARG,20.99999999999999,3,1,0,41.845752708331375,Before 1950s
ARG,21.285714285714274,4,0,0,42.07956008193835,Before 1950s
ARG,21.57142857142856,4,0,0,42.31336745554532,Before 1950s
ARG,21.857142857142843,4,0,0,42.5471748291523,Before 1950s
ARG,22.142857142857128,4,0,0,42.780982202759276,Before 1950s
ARG,22.428571428571413,4,0,0,43.014789576366255,Before 1950s
ARG,22.714285714285698,4,0,0,43.248596949973226,Before 1950s
ARG,22.999999999999982,4,0,0,43.482404323580205,Before 1950s
ARG,23.285714285714267,4,0,0,43.71621169718718,Before 1950s
ARG,23.57142857142855,4,0,0,43.950019070794156,Before 1950s
ARG,23.857142857142836,4,0,1,44.183826444401134,Before 1950s
ARG,24.14285714285712,4,0,0,44.41763381800811,Before 1950s
ARG,24.428571428571406,4,0,0,44.651441191615085,Before 1950s
ARG,24.71428571428569,4,0,0,44.88524856522206,Before 1950s
ARG,24.999999999999975,4,0,0,45.119055938829035,Before 1950s
ARG,25.28571428571426,4,0,0,45.352863312436014,Before 1950s
ARG,25.571428571428545,4,0,0,45.58667068604299,Before 1950s
ARG,25.85714285714283,4,0,0,45.820478059649965,Before 1950s
ARG,26.142857142857114,4,0,0,46.05428543325694,Before 1950s
ARG,26.4285714285714,4,0,0,46.288092806863915,Before 1950s
ARG,26.714285714285683,4,0,0,46.521900180470894,Before 1950s
ARG,26.999999999999968,4,1,0,46.75570755407787,Before 1950s
ARG,27.3333333333333,5,0,0,47.02848282328601,Before 1950s
ARG,27.666666666666632,5,0,0,47.30125809249415,Before 1950s
ARG,27.999999999999964,5,0,0,47.57403336170229,Before 1950s
ARG,28.333333333333297,5,0,0,47.84680863091043,Before 1950s
ARG,28.66666666666663,5,0,0,48.11958390011856,Before 1950s
ARG,28.99999999999996,5,0,0,48.3923591693267,Before 1950s
ARG,29.333333333333293,5,0,0,48.66513443853484,Before 1950s
ARG,29.666666666666625,5,0,0,48.93790970774298,Before 1950s
ARG,29.999999999999957,5,0,0,49.21068497695112,Before 1950s
ARG,30.33333333333329,5,0,1,49.483460246159254,Before 1950s
ARG,30.66666666666662,5,0,0,49.75623551536739,Before 1950s
