colorr,epct05,epct25,epct50,epct75,epct95,boot
1,17.38297597146459,26.073351658271875,36.936321266780986,47.7992908752901,56.48966656209738,1
2,21.201134388721286,30.207940237169232,41.466447547729175,52.72495485828911,61.731760706737056,1
3,18.923730557822616,26.63705879853955,36.27871909943571,45.92037940033188,53.633707641048815,1
4,16.837430982732833,24.83879582025174,34.84050186715037,44.842207914049006,52.84357275156792,1
5,14.158952929968642,22.05439407529231,31.9236955069469,41.79299693860148,49.68843808392515,1
6,11.337464512022947,19.801760544801773,30.38213058577531,40.96250062674885,49.426796659527675,1
7,7.400667617320471,16.527914307013283,27.936972669129297,39.34603103124531,48.47327772093813,1
8,10.861755131228648,21.602078563992137,35.0274828549465,48.45288714590085,59.19321057866434,1
9,8.966336203666831,18.215970874728818,29.778014213556304,41.34005755238378,50.58969222344578,1
1,22.17415812920737,31.83596393082883,43.91322118285565,55.990478434882476,65.65228423650393,2
2,20.86474219865047,29.001751161309887,39.173012364634154,49.344273567958425,57.48128253061783,2
3,20.91942357186595,28.864048369267778,38.79482936602007,48.72561036277235,56.67023516017417,2
4,15.73018091596331,23.026537020296395,32.14698215071276,41.267427281129116,48.5637833854622,2
5,14.720926264386415,23.22765499467701,33.86106590754025,44.494476820403506,53.001205550694095,2
6,12.77994007073001,21.07966691932545,31.454325480069752,41.82898404081405,50.12871088940949,2
7,8.555284168675943,16.95431720220429,27.453108494114723,37.95189978602516,46.350932819553506,2
8,11.796050910810722,21.722989853702316,34.13166353231681,46.5403372109313,56.467276153822894,2
9,7.054238384724116,15.942366071066067,27.052525678993504,38.16268528692095,47.05081297326289,2
1,21.11059162157846,29.908908901669925,40.90680550178426,51.90470210189859,60.70301938199005,3
2,21.669429085554203,29.934216760362556,40.265201353872996,50.59618594738343,58.860973622191786,3
3,21.23595984931366,29.106694355554136,38.94511248835474,48.783530621155336,56.65426512739582,3
4,16.588541511446625,24.169632858653934,33.645997042663076,43.12236122667222,50.70345257387953,3
5,14.864993629858411,23.429197183700083,34.13445162600217,44.83970606830425,53.40390962214592,3
6,12.503460226186675,21.09258862494068,31.828999123383184,42.56540962182569,51.15453802057969,3
7,8.357985326337268,17.336132069896507,28.558815499345556,39.781498928794605,48.75964567235384,3
8,10.132619669864205,20.76034675915076,34.04500562075896,47.32966448236715,57.9573915716537,3
9,9.922387078674493,19.591859059506675,31.6786990355469,43.76553901158713,53.43501099241931,3
1,15.366992576568057,24.80024946068461,36.591820565830304,48.383391670975996,57.81664855509255,4
2,14.827924394101736,23.17060842318705,33.5989634595437,44.02731849590034,52.37000252498565,4
3,14.96948664772042,23.015017044304003,33.07193004003348,43.128843035762955,51.17437343234654,4
4,10.673423841202261,18.429538940310444,28.124682814195673,37.8198266880809,45.57594178718908,4
5,7.731833282257871,16.08471716031128,26.525822007878034,36.96692685544479,45.3198107334982,4
6,7.734506750794441,16.486506620075666,27.426506456677203,38.36650629327873,47.11850616255996,4
