colorr,slope,boot
5,0.41252517625720575,83
6,0.42148866662512846,83
7,0.44193883368867826,83
8,0.4750129321936022,83
9,0.45462789999795145,83
1,0.47691365977270966,84
2,0.3948344140179592,84
3,0.3862956528614443,84
4,0.39085780419339167,84
5,0.4175294722607089,84
6,0.4109100818072564,84
7,0.42682414428668125,84
8,0.529670472608842,84
9,0.4677783879230516,84
1,0.4563817865779392,85
2,0.40056037085594665,85
3,0.4432875896347744,85
4,0.40601047283579395,85
5,0.4196453387936938,85
6,0.44748244233155926,85
7,0.421423601691794,85
8,0.516682817548017,85
9,0.5007678181771458,85
1,0.45112098771746717,86
2,0.43278381856753884,86
3,0.41105271413650424,86
4,0.3903393253024848,86
5,0.3964308371794452,86
6,0.4297610841051174,86
7,0.43034172823307254,86
8,0.5266828838104021,86
9,0.432094668705473,86
1,0.49458116691250237,87
2,0.41889936637470043,87
3,0.39008940553421084,87
4,0.37812539343470614,87
5,0.4106943936167158,87
6,0.44281784906807864,87
7,0.4329195194065186,87
8,0.4880076090083724,87
9,0.47629805745404824,87
1,0.4572885884910259,88
2,0.37064239104609786,88
3,0.3923938191158769,88
4,0.38005620617817293,88
5,0.4255781945736363,88
6,0.4493465305306419,88
7,0.4488686139368667,88
8,0.5263701844797718,88
9,0.47562187722993843,88
1,0.45422576254617436,89
2,0.36776602948807857,89
3,0.3747104841509474,89
4,0.39125300612942254,89
5,0.4199646753861099,89
6,0.4258827046914247,89
7,0.43104123258288235,89
8,0.4708765111349158,89
9,0.48769109193328086,89
1,0.46590830540344425,90
2,0.4356559854865568,90
3,0.39044574717798697,90
4,0.40850134357852025,90
5,0.417588773223991,90
6,0.4360426703014246,90
7,0.4414552048664606,90
8,0.4712999479719058,90
9,0.4528195798411307,90
1,0.43057518525359983,91
2,0.3792421956831491,91
3,0.42423152664119007,91
4,0.384952187945953,91
5,0.4242297574402858,91
6,0.43858661077001504,91
7,0.4566687410121067,91
8,0.4782111172398603,91
9,0.45652282383519055,91
1,0.45180783862352486,92
2,0.42502436875901667,92
3,0.41625495124902184,92
4,0.3618780515268675,92
5,0.40572694303090756,92
6,0.42700393076699605,92
7,0.4437158982183405,92
8,0.5008702292209115,92
9,0.49067951456281766,92
1,0.46498453179062166,93
2,0.3912411319269635,93
3,0.3988807659117195,93
4,0.3994811935356418,93
5,0.403936039255411,93
6,0.43333714034380155,93
7,0.45820639434304034,93
8,0.5012341510907123,93
9,0.4935426323376741,93
1,0.4660373064410935,94
2,0.40158485277496514,94
3,0.41351219990820715,94
4,0.4079854112136781,94
5,0.4147478224232191,94
6,0.4175004305079271,94
7,0.44178212041714304,94
8,0.5087251129455744,94
9,0.48716382603154473,94
1,0.45892709073091814,95
2,0.3904102486045127,95
3,0.3879996907903991,95
4,0.4022235067730168,95
5,0.432719179552658,95
6,0.43427923749283504,95
7,0.44806778001806735,95
8,0.5195886519522465,95
9,0.4977129263240351,95
1,0.40801459646335614,96
2,0.4110966266837228,96
3,0.40731508761207835,96
4,0.40008836282212795,96
5,0.42053825072223644,96
6,0.44420477744878406,96
7,0.44215135857072946,96
8,0.5256234798236488,96
9,0.49883858721032504,96
1,0.47176307675485285,97
2,0.4003775626741212,97
3,0.4034151664283886,97
4,0.3978188364316888,97
5,0.41934448855087564,97
6,0.42113973487778333,97
7,0.4400015958923098,97
8,0.5213894440356778,97
9,0.43188078094716603,97
1,0.48008385636314316,98
2,0.35855214870447183,98
3,0.4020569677320207,98
4,0.40468057640665384,98
5,0.40721106587292055,98
6,0.44003878493036735,98
7,0.4590808471945888,98
8,0.5111723659646351,98
9,0.4563814290334988,98
1,0.49945066008866906,99
2,0.3846892411868709,99
3,0.3969680771160916,99
4,0.40468923241549115,99
5,0.4183648826175028,99
6,0.4341393275615694,99
7,0.43216916620538753,99
