group,cohort,cohort_size,relative_rank,relative_rank_se,relative_country,relative_country_se,mean_country,ed,ed_mothed,abs_ed_im
ARG,Before 1950s,350.1516581773758,0.8162395011163822,0.07275364800496414,0.77179435294363,0.05622290628479001,5.4959474924393055,7.912181303116149,4.1073446327683625,0.6610169491525424
ARG,1950s,400.4560286402702,0.7211623440874178,0.05880488915612532,0.7876687515844889,0.06822344420254013,4.759953155781569,9.801488833746898,4.877777777777777,0.8222222222222222
ARG,1960s,498.54046267271036,0.6652173067485585,0.047507007724225274,0.6601771187466962,0.05353512231709585,9.072244232032206,10.518811881188117,5.525742574257426,0.8475247524752475
ARG,1970s,581.2868650555611,0.6717541628487936,0.044544412631670145,0.5219466314392284,0.03894716899950921,5.076117871983314,11.156729131175469,6.588435374149659,0.8248299319727891
ARG,1980s,706.2608933448792,0.6069885270629835,0.04313239950753832,0.4406307213320241,0.03291137141720024,8.699154166161293,11.769014084507042,7.324475524475524,0.8335664335664336
ARG,1990s,666.277100622654,0.47717917745112903,0.04189677322062869,0.25799760676146166,0.02321569658539795,5.8014698606358275,11.381305637982196,8.22,0.6962962962962963
BHS,Before 1950s,61.85191541910172,1.0605948049991636,0.10058329741824375,0.5976380051573249,0.06563286152543131,7.107315570067456,10.251908396946567,5.950381679389314,0.5799418724891398
BHS,1950s,80.48881155252457,0.6249203406601205,0.10684050482008872,0.3853184667734255,0.07418121555699993,14.766286545250493,11.887640449438202,7.058988764044944,0.6413133174646792
BHS,1960s,172.2834814786911,0.38425574539780166,0.07717051052485614,0.2722018094637882,0.0674427418472651,7.950342345443049,12.311111111111112,8.400246305418719,0.5205158854901751
BHS,1970s,232.4660378098488,0.3470843456447023,0.05802789482919353,0.20901198818244787,0.042802032330022645,10.858978715560076,12.407619047619047,9.241935483870968,0.42715954045320587
BHS,1980s,304.7849920392037,0.36506790892034713,0.05516220367037656,0.1919320420076074,0.03344265667463333,9.391831745512205,12.177650429799426,9.355714285714285,0.3674262270451916
BHS,1990s,180.01000648736957,0.6143459689588225,0.06816533118228117,0.19397711357652445,0.03344885435955594,8.94849008953313,12.230769230769232,9.676258992805755,0.3061946965218188
BLZ,Before 1950s,151.54109609127042,0.6498649964083222,0.11060462093525308,0.5978552022726162,0.10090642835838136,5.124518246604727,5.203947368421053,1.7532467532467535,0.487012987012987
BLZ,1950s,201.5791484713554,0.5728573630969346,0.09886244230903897,0.4593693612320865,0.09626369393276625,9.949720684020628,6.794117647058823,2.346341463414635,0.5951219512195122
BLZ,1960s,344.0965443849563,0.5598600462141515,0.0804542968332969,0.4966143795802191,0.07394235493370381,4.516961187548529,7.445714285714286,3,0.66
BLZ,1970s,689.0356637835501,0.6110241685518023,0.050714312279657954,0.54119691257754,0.056978881157580055,7.734672049263198,8.472103004291844,3.7225392296718978,0.7232524964336662
BLZ,1980s,371.6976531744003,0.6239639058563577,0.062081400354682945,0.5113318890641149,0.05447187579729031,9.302325922591521,9.298941798941799,4.222222222222223,0.746031746031746
BLZ,1990s,302.45705866813654,0.5926945196093658,0.07020218232277324,0.4101947928926069,0.05434459478937324,7.362002270598139,10.34090909090909,4.761363636363636,0.8474025974025974
BOL,Before 1950s,204.56592033803457,0.914325319023705,0.06069153295696219,1.0847751483514099,0.08128486194438869,9.98931291207057,7.27536231884058,1.9652173913043478,0.49594054883014094
BOL,1950s,329.7361217886209,0.8496756735243226,0.04074423311773016,0.9343952384830084,0.05226327958395218,1.7241634005695028,8.083928571428572,2.446428571428572,0.5454723675000342
BOL,1960s,452.5750397294759,0.8852504442855196,0.03808827088409182,0.8026027631408962,0.035218824116311956,10.007718720427848,9.386075949367088,3.1656131479140344,0.6491134487226836
BOL,1970s,617.4745455756782,0.7114309059549487,0.03720894570832416,0.572538070040363,0.030046421420101582,6.465390150835168,10.952748312439736,4.039537126325941,0.7720356684592817
BOL,1980s,787.8556287959217,0.71020310519057,0.033300229533192414,0.4868378457658229,0.024439089982827466,10.718754495879038,12.255430711610494,5.033333333333334,0.8443966016581006
BOL,1990s,770.3548086807131,0.49480178848428397,0.03282213008383643,0.23112093540387077,0.019367736138983283,4.952953613546215,12.035625517812766,6.007450331125831,0.8045192104391252
BRA,Before 1950s,148.7542521059513,0.8661341997369726,0.12630534308994149,0.5904691669020303,0.11696167918611784,11.819778464896471,4.839416058394158,1.8309352517985598,0.247430244780255
BRA,1950s,227.6134396493435,1.0644909446036022,0.09990133221790212,0.8049306329779855,0.10684196239419204,9.023946868744707,6.651785714285717,2.4866666666666664,0.46639943099658526
BRA,1960s,312.0756336450577,0.9820565582611689,0.09945582691854901,0.6640351282398798,0.10134866495418554,2.0719996458967707,7.708074534161492,2.9676923076923067,0.5969625647217153
BRA,1970s,479.2711076140404,0.7442557595864824,0.06155418700086673,0.4446990843762983,0.04093655244071263,11.708356716102061,9.271784232365142,4.168377823408624,0.6634605004979726
BRA,1980s,530.1449674665928,0.6155221248831599,0.06452537408361234,0.33147741444623596,0.032397770825663,9.01798829013905,10.266791044776122,5.409851301115241,0.7091648369229513
BRA,1990s,612.6360537111759,0.5664874346526662,0.046633672429870925,0.23624561722945472,0.02301756243914828,5.581053945821423,9.786624203821654,6.671701112877584,0.6004615508965132
CHL,Before 1950s,316.64158195257187,1.1710909311964943,0.06652679560397586,0.8205107201256715,0.04427557382452353,10.623349700265505,7.799539170506913,3.66551724137931,0.7664930770765027
CHL,1950s,356.4793131649495,0.9498216814026478,0.06595468846474467,0.6764271619518406,0.05866501846102723,11.176094303745836,9.936739659367397,4.344282238442823,0.8243347805856968
