"Data Source","World Development Indicators",

"Last Updated Date","2020-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Antigua and Barbuda","ATG","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.75867662000125","1.74548670332982","1.74859937879578","1.739101389361","1.75798835481114","1.76326648277919","1.7831128316663","1.78491650794169","1.80229142886213","1.80336472651048","1.74285928991946","1.73073630960809","1.71574365874216","1.66989300732391","1.6511488661137","1.67271317573699","1.63019925376422","1.64683444940649","1.68617839790561","1.70416075176393","1.70935090875105","1.69137668609619","1.82857131958008","1.85441470146179","1.914715051651","2.03954124450684","2.06004309654236","2.09350109100342","2.0811851984792","2.01945320919558","",
"Australia","AUS","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.365399","1.348401","1.328408","1.312686","1.300934","1.310739","1.312233","1.308104","1.300251","1.29695","1.311624","1.327627","1.33649","1.354042","1.366762","1.388356","1.403933","1.42752","1.479073","1.441454","1.502756","1.511052","1.540115","1.447123","1.452489","1.474079","1.449851","1.465824","1.450856","1.439811","",
"Austria","AUT","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.921707","0.924026","0.934869","0.93841","0.941989","0.939379","0.935491","0.931818","0.922781","0.923906","0.90728","0.922773","0.899797","0.889139","0.878875","0.881939","0.861063","0.869081","0.854424","0.84292","0.841628","0.831374","0.813648","0.797081","0.798797","0.798599","0.77701","0.77037","0.767172","0.759788","",
"Azerbaijan","AZE","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.64083988824891E-06","1.35659568638409E-05","0.000154565650542528","0.00127905904191483","0.0186102793485715","0.117690676731686","0.146108280603167","0.156906660796035","0.153662793962762","0.15475090476745","0.170277084066682","0.170812915946269","0.175239754223421","0.184021553155842","0.195776446668868","0.217816719794276","0.235370785046191","0.276391295366712","0.346952129086009","0.279253069264618","0.31420473354735","0.383509784936905","0.369043290615082","0.359447956085205","0.354803949594498","0.377257108688354","0.43090146780014","0.505471646785736","0.553575393656198","0.541783029023867","",
"Burundi","BDI","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.148253592735","71.6378352271972","73.8251325202884","77.7002150816658","81.1259550852343","92.2550020531213","103.690122154977","134.956255855698","148.735449680173","168.544111630601","186.58519890146","207.623908385547","206.491777957967","226.944196941547","250.046851015279","288.182920348381","287.67792207582","303.330287807935","369.595026738332","405.161463993832","434.783258126855","461.509124755859","527.052978515625","539.311096191406","547.099609375","570.659118652344","585.893188476563","654.895874023438","621.095822708889","614.273901861231","",
"Belgium","BEL","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.914846","0.910376","0.920573","0.935176","0.9348","0.926779","0.929274","0.927793","0.935617","0.931348","0.899777","0.892248","0.8733","0.877071","0.889132","0.891788","0.875325","0.879887","0.86694","0.849292","0.836013","0.831911","0.822137","0.806166","0.800214","0.799784","0.78109","0.772879","0.769659","0.755245","",
"Benin","BEN","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.0706297428472","83.8850693803312","84.497094160713","84.5045571850226","110.458242445407","124.525737055842","130.733327841661","133.230568697787","138.640241251829","202.735359780265","206.910777121417","206.45898660845","210.467876252438","212.956966305127","208.970198479991","211.358966970071","209.447193227345","204.763830640432","213.780338033438","217.551198762183","216.939685242839","220.433578491211","234.004196166992","231.47721862793","225.044235229492","220.523895263672","214.433868408203","216.77360534668","212.866756824122","208.14828767688","",
"Burkina Faso","BFA","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","162.43947698394","150.891454370765","147.864374307199","142.359511117018","159.787399535515","167.100502282912","164.668067234777","164.39580498636","175.474351809933","203.059015183067","196.990714804453","200.399003692447","203.309302017503","202.566049431179","197.434321937698","198.629943896639","191.517655189621","191.155961626385","204.68409108622","208.021921764452","213.397738971022","223.115814208984","238.978652954102","231.079254150391","231.325927734375","225.415924072266","215.196685791016","208.757202148438","207.93610146138","202.684664333737","",
"Bangladesh","BGD","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.5418936569638","13.456459398153","13.4963573462593","13.2044951359595","13.4411935867919","14.1057841374257","14.4387167196934","14.7333607355797","15.2594161748813","15.6109884584356","15.7959320330878","15.96097069578","16.3241015259582","16.9585450150727","17.2673434519838","17.5137431055149","17.9981777205623","18.661584408791","19.7445085360031","20.9206088645939","22.1571297960395","23.4095554351807","23.7873516082764","24.9661979675293","25.8188781738281","27.2837295532227","28.4988307952881","29.7381744384766","30.6559584472499","31.4128719205924","",
"Bulgaria","BGR","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0006907409552987","0.00218174930133646","0.00340403131418939","0.00502415057405654","0.00849554559073712","0.019635370336181","0.0382544466612896","0.398318349990792","0.518752964476213","0.525165457766487","0.53583006709626","0.555723908510145","0.558291461405421","0.560441701050417","0.580771967125976","0.596498296645702","0.618973077504636","0.657114629191992","0.677680012414649","0.692531323783445","0.676485449965582","0.701071950383159","0.69281419432995","0.680006925007935","0.66123087945549","0.678519524764431","0.670879193833553","0.676802486329988","0.690879069894381","0.692620946946102","",
